Species,Genus,Subfam,Figure,In.Roxo,Roxo.Congener,In.Lujan,Lujan.Congener,Phylos,Diet.Adult,Diet.Albert,Vegetation.Albert,Habitat.Albert,Sand
Ancistrus_bufonius,Ancistrus,Hypostominae,A. buf,0,,0,,0,herbivore,,,,
Ancistrus_chagresi,Ancistrus,Hypostominae,A. cha,0,,0,,0,herbivore,,,,
Ancistrus_damasceni,Ancistrus,Hypostominae,A. dam,0,,0,,0,herbivore,,,,
Ancistrus_leucostictus,Ancistrus,Hypostominae,A. leu,0,,1,,1,herbivore,algivore,RiverVegetation,TropForsStream.Floodplains,no
Ancistrus_lithurgicus,Ancistrus,Hypostominae,A. lit,0,,0,,0,,,,,
Ancistrus_macrophthalmus,Ancistrus,Hypostominae,A. mac,0,,1,,1,herbivore,algivore,RiverVegetation,TropForsStream.Floodplains,no
Ancistrus_marcapatae,Ancistrus,Hypostominae,A. mar,0,,0,,0,,,,,
Ancistrus_nudiceps,Ancistrus,Hypostominae,A. nud,0,,0,,0,,,,,
Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri,0,,0,,0,,,,,
Aphanotorulus_ammophilus,Aphanotorulus,Hypostominae,A. amm,1,aphanotorulus_unicolor19719,1,,1,omnivore,algivore,None,NonmountainRifles,no
Baryancistrus_beggini,Baryancistrus,Hypostominae,B. beg,1,Baryancistrus_xanthellus,1,,1,herbivore,algivore,RiverVegetation,TropForsStream.Floodplains,no
Chaetostoma_lineopunctatum,Chaetostoma,Hypostominae,C. lin,1,Chaetostoma_milesi,1,,1,omnivore,algivore,None,MountainRivers,no
Cordylancistrus_sp,Cordylancistrus,Hypostominae,C. sp,0,,1,Cordylancistrus_torbesensis,1,herbivore,algivore,None,MountainRivers,no
Corumbataia_tocantinensis,Corumbataia,Hypoptopomatinae,C. toc,1,corumbataia_cuestae17210,1,Genbank_Corumbataia_cuestae,1,herbivore,algivore,None,MountainRivers,no
Corymbophanes_kaiei,Corymbophanes,Hypostominae,C. kai,0,,1,,1,herbivore,algivore,None,MountainRivers,no
Crossoloricaria_bahuaji,Crossoloricaria,Loricariinae,C. bah,1,crossoloricaria_cephalaspis5106,0,,1,omnivore,algivore,None,MountainRivers,no
Dekeyseria_scaphirhynchus,Dekeyseria,Hypostominae,D. sca,0,,1,,1,omnivore,algivore,None,Floodplains,no
Dolichancistrus_cobrensis,Dolichancistrus,Hypostominae,D. cob,1,dolichancistrus_carnegiei189598,1,6647_Dolichancistrus_carnegiei,1,herbivore,algivore,None,MountainRivers,no
Exastilithoxus_sp,Exastilithoxus,Hypostominae,E. sp,1,exastilithoxus_hoedemani42177,1,Exastilithoxus_nsp_Ventuari_T09667,1,insectivore,algivore,None,MountainRivers,no
Farlowella_curtirostra,Farlowella,Loricariinae,F. cur,1,farlowella_oxyrryncha11509,1,Farlowella_acus,1,herbivore,algivore,None,TropForsStream.Floodplains,no
Harttia_platystoma,Harttia,Loricariinae,H. pla,1,,1,Harttia_loricariformis,1,herbivore,algivore,None,NonmountainRifles,no
Hemiancistrus_guahiborum,Hemiancistrus,Hypostominae,H. gua,1,hemiancistrus_punctulatus60931,1,,1,omnivore,algivore,None,MountainRivers,no
Hemiancistrus_lujani,Hemiancistrus,Hypostominae,H. luj,1,hemiancistrus_fuliginosus61299,0,,1,omnivore,algivore,None,MountainRivers,no
Hemiodontichthys_acipenserinus,Hemiodontichthys,Loricariinae,H. aci,0,,0,,0,,,,,
Hypancistrus_debilittera,Hypancistrus,Hypostominae,H. deb,1,Hypancistrus_zebra,0,,1,omnivore,omnivore,None,NonmountainRifles,no
Hypancistrus_furunculus,Hypancistrus,Hypostominae,H. fur,0,,1,,1,omnivore,omnivore,None,NonmountainRifles,no
Hypancistrus_lunaorum,Hypancistrus,Hypostominae,H. lun,0,,1,,1,omnivore,omnivore,None,NonmountainRifles,no
Hypoptopoma_gulare,Hypoptopoma,Hypoptopomatinae,H. gul,1,Hypoptopoma_spectabile,1,Hypoptopoma_spectabile,1,herbivore,algivore,RiverVegetation,TropForsStream.NonmountainRifles,no
Hypoptopoma_thoracatum,Hypoptopoma,Hypoptopomatinae,H. tho,1,,0,,1,herbivore,algivore,RiverVegetation,TropForsStream.NonmountainRifles,no
Hypostomus_niceforoi,Hypostomus,Hypostominae,H. nic,0,,1,,1,omnivore,detritivore.algivore,None,TropForsStream,no
Hypostomus_robinii,Hypostomus,Hypostominae,H. rob,0,,1,,1,herbivore,detritivore.algivore,None,TropForsStream,no
Isorineloricaria_spinosissima,Isorineloricaria,Hypostominae,I. spi,0,,1,,1,omnivore,algivore,None,Floodplains,no
Lasiancistrus_schomburgkii,Lasiancistrus,Hypostominae,L. sch,1,lasiancistrus_saetiger42517,1,,1,omnivore,algivore,None,MountainRivers,no
Lasiancistrus_tentaculatus,Lasiancistrus,Hypostominae,L. ten,0,,1,,1,xylovore,algivore,None,MountainRivers,no
Leporacanthicus-cf._galaxias,Leporacanthicus-cf.,Hypostominae,L. gal,1,,1,,1,carnivore,algivore,WoodyDebris,None,no
Lithogenes_villosus,Lithogenes,Lithogeninae,L. vil,0,,1,,1,herbivore,algivore,None,NonmountainRifles,no
Lithoxus_lithoides,Lithoxus,Hypostominae,L. lit,0,,1,,1,insectivore,algivore,None,NonmountainRifles,no
Loricaria_simillima,Loricaria,Loricariinae,L. sim,1,loricaria_prolixa34926,1,Loricaria_clavipinna,1,omnivore,algivore,RiverVegetation,None,Sand
Micracanthicus_vandragti,Micracanthicus,Hypostominae,M. van,1,,0,,1,omnivore,omnivore,None,NonmountainRifles,no
Neblinichthys_yaravi,Neblinichthys,Hypostominae,N. yar,0,,1,T06066_Neblinichthys_echinasus,1,herbivore,algivore,None,NonmountainRifles,no
Otocinclus_vestitus,Otocinclus,Hypoptopomatinae,O. ves,1,otocinclus_vittatus26232,1,Otocinclus_vittatus,1,herbivore,algivore,RiverVegetation,None,no
Oxyropsis_acutirostra,Oxyropsis,Hypoptopomatinae,O. acu,0,,1,Oxyropsis_ephippia,1,herbivore,algivore,RiverVegetation,None,no
Panaque_bathyphilus,Panaque,Hypostominae,P. bat,1,Panaque_nigrolineatus,1,,1,xylovore,algivore,WoodyDebris,None,no
Panaque_maccus,Panaque,Hypostominae,P. mac,0,,1,,1,xylovore,algivore,WoodyDebris,None,no
Paralithoxus_bovallii,Lithoxus,Hypostominae,P. bov,0,,1,,1,insectivore,algivore,None,NonmountainRifles,no
Paraloricaria_sp.dientes.cortos,Paraloricaria,Loricariinae,P. sp.,0,,0,,0,,,,,
Parotocinclus_eppleyi,Parotocinclus,Hypoptopomatinae,P. epp,0,Parotocinclus_maculicauda,1,Genbank_Parotocinclus_bidentatus,1,omnivore,algivore,RiverVegetation,None,no
Peckoltia_braueri,Peckoltia,Hypostominae,P. bra,1,,1,,1,omnivore,algivore,None,TropForsStream.NonmountainRifles,no
Peckoltia_ephippiata,Peckoltia,Hypostominae,P. eph,0,,0,,0,,,,,
Peckoltia_greedoi,Peckoltia,Hypostominae,P. gre,0,,0,,0,,,,,
Peckoltia_lineola,Peckoltia,Hypostominae,P. lin,0,,1,,1,omnivore,algivore,None,TropForsStream.NonmountainRifles,no
Peckoltia_n.sp.,Peckoltia,Hypostominae,P. n.s,0,,0,,0,,,,,
Peckoltia_sabaji,Peckoltia,Hypostominae,P. sab,0,,1,,1,omnivore,algivore,None,TropForsStream.NonmountainRifles,no
Peckoltia_sp.,Peckoltia,Hypostominae,P. sp.,0,,0,,0,,,,,
Peckoltia_vittata,Peckoltia,Hypostominae,P. vit,0,,1,,1,omnivore,algivore,None,TropForsStream.NonmountainRifles,no
Peckoltia_wernekei,Peckoltia,Hypostominae,P. wer,0,,1,,1,omnivore,algivore,None,TropForsStream.NonmountainRifles,no
Peckoltichthys_bachi,Peckoltichthys,Hypostominae,P. bac,0,,1,,1,herbivore,algivore,RiverVegetation,None,no
Planiloricaria_cryptodon,Planiloricaria,Loricariinae,P. cry,1,,0,,1,omnivore,algivore,RiverVegetation,None,Sand
Pseudacanthicus_leopardus,Pseudacanthicus,Hypostominae,P. leo,1,pseudacanthicus_sp64046,1,,1,omnivore,algivore,None,NonmountainRifles,no
Pseudancistrus_barbatus,Pseudancistrus,Hypostominae,P. bar,1,pseudancistrus_pectegenitor43192,1,,1,omnivore,algivore,None,NonmountainRifles,no
Pseudancistrus_nigrescens,Pseudancistrus,Hypostominae,P. nig,0,,1,,1,omnivore,algivore,None,NonmountainRifles,no
Pseudancistrus_sidereus,Pseudancistrus,Hypostominae,P. sid,0,,1,,1,herbivore,algivore,None,NonmountainRifles,no
Pseudohemiodon_sp,Pseudohemiodon,Loricariinae,P. sp,1,pseudohemiodon_lamina23059,1,Genbank_Pseudohemiodon_laticeps,1,omnivore,algivore,RiverVegetation,Floodplains,Sand
Pseudolithoxus_dumus,Pseudolithoxus,Hypostominae,P. dum,0,Pseudolithoxus_tigris,1,,1,omnivore,algivore,None,Channels,no
Pseudoloricaria_laeviuscula,Pseudoloricaria,Loricariinae,P. lae,1,,0,,1,omnivore,algivore,RiverVegetation,None,Sand
Pterygoplichthys_gibbiceps,Pterygoplichthys,Hypostominae,P. gib,1,pterygoplichthys_multiradiatus47289,1,,1,herbivore,algivore,RiverVegetation,TropForsStream.Floodplains,no
Rineloricaria_fallax,Rineloricaria,Loricariinae,R. fal,1,rineloricaria_maackii51110,1,,1,omnivore,algivore,RiverVegetation,TropForsStream.Floodplains,Sand
Rineloricaria_stewarti,Rineloricaria,Loricariinae,R. ste,0,,0,,0,,,,,
Spatuloricaria_puganensis,Spatuloricaria,Loricariinae,S. pug,1,spatuloricaria_sp16145,1,,1,herbivore,algivore,None,Channels,Sand
Sturisoma_monopelte,Sturisoma,Loricariinae,S. mon,1,sturisoma_barbatum42452,1,Sturisoma_cf_monopelte,1,omnivore,algivore,WoodyDebris,NonmountainRifles,no