x,Collection#,Species,Genus,Subfam,Figure
1.AUM_35643_Harttia_platystoma-2.txt.final,AUM-35643,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_35643_Harttia_platystoma-3.txt.final,AUM-35643,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_35738_Pseudacanthicus_leopardus-1.txt.final,AUM-35738,Pseudacanthicus_leopardus,Pseudacanthicus,Hypostominae,P. leo
1.AUM_35738_Pseudacanthicus_leopardus-2.txt.final,AUM-35738,Pseudacanthicus_leopardus,Pseudacanthicus,Hypostominae,P. leo
1.AUM_35738_Pseudacanthicus_leopardus-3.txt.final,AUM-35738,Pseudacanthicus_leopardus,Pseudacanthicus,Hypostominae,P. leo
1.AUM_35738_Pseudacanthicus_leopardus-4.txt.final,AUM-35738,Pseudacanthicus_leopardus,Pseudacanthicus,Hypostominae,P. leo
1.AUM_36633_Neblinichthys_yaravi-1.txt.final,AUM-36633,Neblinichthys_yaravi,Neblinichthys,Hypostominae,N. yar
1.AUM_36633_Neblinichthys_yaravi-2.txt.final,AUM-36633,Neblinichthys_yaravi,Neblinichthys,Hypostominae,N. yar
1.AUM_36633_Neblinichthys_yaravi-3.txt.final,AUM-36633,Neblinichthys_yaravi,Neblinichthys,Hypostominae,N. yar
1.AUM_36633_Neblinichthys_yaravi-4.txt.final,AUM-36633,Neblinichthys_yaravi,Neblinichthys,Hypostominae,N. yar
1.AUM_38789_Harttia_platystoma-1.txt.final,AUM-38789,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_38789_Harttia_platystoma-2.txt.final,AUM-38789,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_38789_Harttia_platystoma-3.txt.final,AUM-38789,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_38789_Harttia_platystoma-4.txt.final,AUM-38789,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_38789_Harttia_platystoma-5.txt.final,AUM-38789,Harttia_platystoma,Harttia,Loricariinae,H. pla
1.AUM_39040_Lithoxus_lithoides-2.txt.final,AUM-39040,Lithoxus_lithoides,Lithoxus,Hypostominae,L. lit
1.AUM_4251_Isorineloricaria_spinosissima-1.txt.final,AUM-4251,Isorineloricaria_spinosissima,Isorineloricaria,Hypostominae,I. spi
1.AUM_45611_Spatuloricaria_puganensis-1.txt.final,AUM-45611,Spatuloricaria_puganensis,Spatuloricaria,Loricariinae,S. pug
1.AUM_46619_Spatuloricaria_puganensis-2.txt.final,AUM-46619,Spatuloricaria_puganensis,Spatuloricaria,Loricariinae,S. pug
1.AUM_46619_Spatuloricaria_puganensis-3.txt.final,AUM-46619,Spatuloricaria_puganensis,Spatuloricaria,Loricariinae,S. pug
1.AUM_62909_Lithogenes_villosus-1.txt.final,AUM-62909,Lithogenes_villosus,Lithogenes,Lithogeninae,L. vil
1.AUM_62909_Lithogenes_villosus-2.txt.final,AUM-62909,Lithogenes_villosus,Lithogenes,Lithogeninae,L. vil
1.AUM_62909_Lithogenes_villosus-3.txt.final,AUM-62909,Lithogenes_villosus,Lithogenes,Lithogeninae,L. vil
1.AUM_62909_Lithogenes_villosus-4.txt.final,AUM-62909,Lithogenes_villosus,Lithogenes,Lithogeninae,L. vil
1.AUM_71150_Cordylancistrus_sp-1.txt.final,AUM-71150,Cordylancistrus_sp,Cordylancistrus,Hypostominae,C. sp
1.AUM_71150_Cordylancistrus_sp-2.txt.final,AUM-71150,Cordylancistrus_sp,Cordylancistrus,Hypostominae,C. sp
2.AUM_44413_Hemiodontichthys_acipenserinus-1.txt.final,AUM-44413,Hemiodontichthys_acipenserinus,Hemiodontichthys,Loricariinae,H. aci
2.AUM_45418_Corumbatain_tocantinensis-1.txt.final,AUM-45418,Corumbataia_tocantinensis,Corumbataia,Hypoptopomatinae,C. toc
2.AUM_45418_Corumbatain_tocantinensis-2.txt.final,AUM-45418,Corumbataia_tocantinensis,Corumbataia,Hypoptopomatinae,C. toc
2.AUM_45418_Corumbatain_tocantinensis-3.txt.final,AUM-45418,Corumbataia_tocantinensis,Corumbataia,Hypoptopomatinae,C. toc
2.AUM_45418_Corumbatain_tocantinensis-4.txt.final,AUM-45418,Corumbataia_tocantinensis,Corumbataia,Hypoptopomatinae,C. toc
2.AUM_51403_Crossoloricaria_bahuaji-1.txt.final,AUM-51403,Crossoloricaria_bahuaji,Crossoloricaria,Loricariinae,C. bah
2.AUM_54450_Exastilithoxus_sp-1.txt.final,AUM-54450,Exastilithoxus_sp,Exastilithoxus,Hypostominae,E. sp
2.AUM_54991_Micracanthicus_vandragti-1.txt.final,AUM-54991,Micracanthicus_vandragti,Micracanthicus,Hypostominae,M. van
2.AUM_54991_Micracanthicus_vandragti-2.txt.final,AUM-54991,Micracanthicus_vandragti,Micracanthicus,Hypostominae,M. van
2.AUM_62801_Corymbophanes_kaiei-1.txt.final,AUM-62801,Corymbophanes_kaiei,Corymbophanes,Hypostominae,C. kai
2.AUM_71168_Cordylancistrus_sp-1.txt.final,AUM-71168,Cordylancistrus_sp,Cordylancistrus,Hypostominae,C. sp
3.AUM_39899_Paraloricaria_sp.dientes.cortos-1.txt.final,AUM-39899,Paraloricaria_sp.dientes.cortos,Paraloricaria,Loricariinae,P. sp.
3.AUM_39899_Paraloricaria_sp.dientes.cortos-2.txt.final,AUM-39899,Paraloricaria_sp.dientes.cortos,Paraloricaria,Loricariinae,P. sp.
3.AUM_39899_Paraloricaria_sp.dientes.cortos-3.txt.final,AUM-39899,Paraloricaria_sp.dientes.cortos,Paraloricaria,Loricariinae,P. sp.
3.AUM_39899_Paraloricaria_sp.dientes.cortos-4.txt.final,AUM-39899,Paraloricaria_sp.dientes.cortos,Paraloricaria,Loricariinae,P. sp.
3.AUM_41498_Pseudohemiodon_sp-1.txt.final,AUM-41498,Pseudohemiodon_sp,Pseudohemiodon,Loricariinae,P. sp
3.AUM_46301_Farlowella_curtirostra-1.txt.final,AUM-46301,Farlowella_curtirostra,Farlowella,Loricariinae,F. cur
3.AUM_46301_Farlowella_curtirostra-2.txt.final,AUM-46301,Farlowella_curtirostra,Farlowella,Loricariinae,F. cur
3.AUM_66085_Hypoptopoma_gulare-2.txt.final,AUM-66085,Hypoptopoma_gulare,Hypoptopoma,Hypoptopomatinae,H. gul
3.AUM_67039_Lithoxus_bovallii-1.txt.final,AUM-67039,Paralithoxus_bovallii,Lithoxus,Hypostominae,L. bov
3.AUM_67039_Lithoxus_bovallii-2.txt.final,AUM-67039,Paralithoxus_bovallii,Lithoxus,Hypostominae,L. bov
3.AUM_67039_Lithoxus_bovallii-3.txt.final,AUM-67039,Paralithoxus_bovallii,Lithoxus,Hypostominae,L. bov
3.AUM_67039_Lithoxus_bovallii-4.txt.final,AUM-67039,Paralithoxus_bovallii,Lithoxus,Hypostominae,L. bov
3.AUM_67039_Lithoxus_bovallii-5.txt.final,AUM-67039,Paralithoxus_bovallii,Lithoxus,Hypostominae,L. bov
4.AUM_45519_Hypostomus_niceforoi-1.txt.final,AUM-45519,Hypostomus_niceforoi,Hypostomus,Hypostominae,H. nic
4.AUM_46306_Dolichancistrus_cobrensis-2.txt.final,AUM-46306,Dolichancistrus_cobrensis,Dolichancistrus,Hypostominae,D. cob
4.AUM_46306_Dolichancistrus_cobrensis-3.txt.final,AUM-46306,Dolichancistrus_cobrensis,Dolichancistrus,Hypostominae,D. cob
4.AUM_46306_Dolichancistrus_cobrensis-5.txt.final,AUM-46306,Dolichancistrus_cobrensis,Dolichancistrus,Hypostominae,D. cob
4.AUM_47892_Rineloricaria_fallax-1.txt.final,AUM-47892,Rineloricaria_fallax,Rineloricaria,Loricariinae,R. fal
4.AUM_47892_Rineloricaria_fallax-3.txt.final,AUM-47892,Rineloricaria_fallax,Rineloricaria,Loricariinae,R. fal
4.AUM_47892_Rineloricaria_fallax-5.txt.final,AUM-47892,Rineloricaria_fallax,Rineloricaria,Loricariinae,R. fal
4.AUM_47901_Hypoptopama_thoracatum-1.txt.final,AUM-47901,Hypoptopoma_thoracatum,Hypoptopoma,Hypoptopomatinae,H. tho
4.AUM_47901_Hypoptopama_thoracatum-2.txt.final,AUM-47901,Hypoptopoma_thoracatum,Hypoptopoma,Hypoptopomatinae,H. tho
4.AUM_51464_Hemiodontichthys_acipenserinus-1.txt.final,AUM-51464,Hemiodontichthys_acipenserinus,Hemiodontichthys,Loricariinae,H. aci
4.AUM_57497_Hypostomus_niceforoi-1.txt.final,AUM-57497,Hypostomus_niceforoi,Hypostomus,Hypostominae,H. nic
5.AUM_27708_Pseudohemiodon_sp-1.txt.final,AUM-27708,Pseudohemiodon_sp,Pseudohemiodon,Loricariinae,P. sp
5.AUM_38888_Pseudoloricaria_laeviuscula-1.txt.final,AUM-38888,Pseudoloricaria_laeviuscula,Pseudoloricaria,Loricariinae,P. lae
5.AUM_38888_Pseudoloricaria_laeviuscula-3.txt.final,AUM-38888,Pseudoloricaria_laeviuscula,Pseudoloricaria,Loricariinae,P. lae
5.AUM_38888_Pseudoloricaria_laeviuscula-4.txt.final,AUM-38888,Pseudoloricaria_laeviuscula,Pseudoloricaria,Loricariinae,P. lae
5.AUM_39848_Pseudohemiodon_sp-1.txt.final,AUM-39848,Pseudohemiodon_sp,Pseudohemiodon,Loricariinae,P. sp
5.AUM_44491_Rineloricaria_stewarti-1.txt.final,AUM-44491,Rineloricaria_stewarti,Rineloricaria,Loricariinae,R. ste
5.AUM_44491_Rineloricaria_stewarti-2.txt.final,AUM-44491,Rineloricaria_stewarti,Rineloricaria,Loricariinae,R. ste
5.AUM_44491_Rineloricaria_stewarti-5.txt.final,AUM-44491,Rineloricaria_stewarti,Rineloricaria,Loricariinae,R. ste
5.AUM_57837_Planiloricaria_cryptodon-1.txt.final,AUM-57837,Planiloricaria_cryptodon,Planiloricaria,Loricariinae,P. cry
5.AUM_57837_Planiloricaria_cryptodon-2.txt.final,AUM-57837,Planiloricaria_cryptodon,Planiloricaria,Loricariinae,P. cry
5.AUM_57837_Planiloricaria_cryptodon-3.txt.final,AUM-57837,Planiloricaria_cryptodon,Planiloricaria,Loricariinae,P. cry
6.AUM_22715_Otocinclus_vestitus-1.txt.final,AUM-22715,Otocinclus_vestitus,Otocinclus,Hypoptopomatinae,O. ves
6.AUM_22715_Otocinclus_vestitus-2.txt.final,AUM-22715,Otocinclus_vestitus,Otocinclus,Hypoptopomatinae,O. ves
6.AUM_56697_Parotocinclus_eppleyi-1.txt.final,AUM-56697,Parotocinclus_eppleyi,Parotocinclus,Hypoptopomatinae,P. epp
6.AUM_56697_Parotocinclus_eppleyi-2.txt.final,AUM-56697,Parotocinclus_eppleyi,Parotocinclus,Hypoptopomatinae,P. epp
6.AUM_56697_Parotocinclus_eppleyi-3.txt.final,AUM-56697,Parotocinclus_eppleyi,Parotocinclus,Hypoptopomatinae,P. epp
6.AUM_56739_Oxyropsis_acutirostra-1.txt.final,AUM-56739,Oxyropsis_acutirostra,Oxyropsis,Hypoptopomatinae,O. acu
6.AUM_56739_Oxyropsis_acutirostra-2.txt.final,AUM-56739,Oxyropsis_acutirostra,Oxyropsis,Hypoptopomatinae,O. acu
6.AUM_56739_Oxyropsis_acutirostra-3.txt.final,AUM-56739,Oxyropsis_acutirostra,Oxyropsis,Hypoptopomatinae,O. acu
ANSP_197614_Peckoltia_ephippiata-19.txt.final.txt.final,ANSP-197614,Peckoltia_ephippiata,Peckoltia,Hypostominae,P. eph
ANSP_197617_Peckoltia_greedoi-1.txt.final.txt.final,ANSP-197617,Peckoltia_greedoi,Peckoltia,Hypostominae,P. gre
AUM_20700_Ancistrus_damasceni-1.txt.final.txt.final,AUM-20700,Ancistrus_damasceni,Ancistrus,Hypostominae,A. dam
AUM_20700_Ancistrus_damasceni-2.txt.final.txt.final,AUM-20700,Ancistrus_damasceni,Ancistrus,Hypostominae,A. dam
AUM_20700_Ancistrus_damasceni-3.txt.final.txt.final,AUM-20700,Ancistrus_damasceni,Ancistrus,Hypostominae,A. dam
AUM_21972_Peckoltia_n.sp.-1.txt.final.txt.final,AUM-21972,Peckoltia_n.sp.,Peckoltia,Hypostominae,P. n.s
AUM_22190_Ancistrus_triradiatus-1.txt.final.txt.final,AUM-22190,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_22244_Hypostomus_robinii-1.txt.final.txt.final,AUM-22244,Hypostomus_robinii,Hypostomus,Hypostominae,H. rob
AUM_22297_Ancistrus_triradiatus-2.txt.final.txt.final,AUM-22297,Ancistrus_triradiatus,Ancistrus,Hypostominae,A. tri
AUM_22665_Panaque_maccus-1.txt.final.txt.final,AUM-22665,Panaque_maccus,Panaque,Hypostominae,P. mac
AUM_22665_Panaque_maccus-2.txt.final.txt.final,AUM-22665,Panaque_maccus,Panaque,Hypostominae,P. mac
AUM_22665_Panaque_maccus-3.txt.final.txt.final,AUM-22665,Panaque_maccus,Panaque,Hypostominae,P. mac
AUM_27705_Aphanotorulus_ammophilus-1.txt.final.txt.final,AUM-27705,Aphanotorulus_ammophilus,Aphanotorulus,Hypostominae,A. amm
AUM_32114_Ancistrus_chagresi-1.txt.final.txt.final,AUM-32114,Ancistrus_chagresi,Ancistrus,Hypostominae,A. cha
AUM_32114_Ancistrus_chagresi-2.txt.final.txt.final,AUM-32114,Ancistrus_chagresi,Ancistrus,Hypostominae,A. cha
AUM_32114_Ancistrus_chagresi-4.txt.final.txt.final,AUM-32114,Ancistrus_chagresi,Ancistrus,Hypostominae,A. cha
AUM_35624_Ancistrus_nudiceps_1.txt.final.txt.final,AUM-35624,Ancistrus_nudiceps,Ancistrus,Hypostominae,A. nud
AUM_35624_Ancistrus_nudiceps_2.txt.final.txt.final,AUM-35624,Ancistrus_nudiceps,Ancistrus,Hypostominae,A. nud
AUM_35733_Peckoltia_sabaji-1.txt.final.txt.final,AUM-35733,Peckoltia_sabaji,Peckoltia,Hypostominae,P. sab
AUM_36436_Hypostomus_robinii-2.txt.final.txt.final,AUM-36436,Hypostomus_robinii,Hypostomus,Hypostominae,H. rob
AUM_38023_Pseudancistrus_barbatus-2.txt.final.txt.final,AUM-38023,Pseudancistrus_barbatus,Pseudancistrus,Hypostominae,P. bar
AUM_38182_Ancistrus_lithurgicus-1.txt.final.txt.final,AUM-38182,Ancistrus_lithurgicus,Ancistrus,Hypostominae,A. lit
AUM_38259_Peckoltia_sabaji-1.txt.final.txt.final,AUM-38259,Peckoltia_sabaji,Peckoltia,Hypostominae,P. sab
AUM_38821_Ancistrus_lithurgicus-1.txt.final.txt.final,AUM-38821,Ancistrus_lithurgicus,Ancistrus,Hypostominae,A. lit
AUM_38821_Ancistrus_lithurgicus-2.txt.final.txt.final,AUM-38821,Ancistrus_lithurgicus,Ancistrus,Hypostominae,A. lit
AUM_38821_Ancistrus_lithurgicus-3.txt.final.txt.final,AUM-38821,Ancistrus_lithurgicus,Ancistrus,Hypostominae,A. lit
