,Null,7.mod,6.mod,4.mod,3.mod,2.mod,Larouche.1,Larouche.2,Larouche.4,Larouche.5
Anal-fin-anterior,1,7,6,4,3,2,2,2,2,3
Caudal-fin-dorsal,1,6,5,3,2,2,2,1,2,3
Caudal-fin-ventral,1,6,5,3,2,2,2,1,2,3
Cloaca,1,7,6,4,3,2,2,1,2,3
Dorsal-fin-anterior,1,4,3,3,2,2,2,2,2,2
Eye-anterior_R,1,2,2,2,1,1,1,1,1,1
Eye-anterior_L,1,2,2,2,1,1,1,1,1,1
Eye-lateral_R,1,2,2,2,1,1,1,1,1,1
Eye-lateral_L,1,2,2,2,1,1,1,1,1,1
Eye-medial_R,1,2,2,2,1,1,1,1,1,1
Eye-medial_L,1,2,2,2,1,1,1,1,1,1
Eye-posterior_R,1,2,2,2,1,1,1,1,1,1
Eye-posterior_L,1,2,2,2,1,1,1,1,1,1
Mouth-lateral_R,1,1,1,1,1,1,1,1,1,1
Mouth-lateral_L,1,1,1,1,1,1,1,1,1,1
Naris_R,1,2,2,2,1,1,1,1,1,1
Naris_L,1,2,2,2,1,1,1,1,1,1
Opercle-dorsal_R,1,3,2,2,1,1,1,1,1,1
Opercle-dorsal_L,1,3,2,2,1,1,1,1,1,1
Opercle-ventral_R,1,3,2,2,1,1,1,1,1,1
Opercle-ventral_L,1,3,2,2,1,1,1,1,1,1
Oral-disk-lateral_R,1,1,1,1,1,1,1,1,1,1
Oral-disk-lateral_L,1,1,1,1,1,1,1,1,1,1
Oral-disk-posterior,1,1,1,1,1,1,1,1,1,1
Pectoral-fin-anterior_R,1,4,3,3,2,2,1,1,1,2
Pectoral-fin-anterior_L,1,4,3,3,2,2,1,1,1,2
Pectoral-fin-posterior_R,1,4,3,3,2,2,1,1,1,2
Pectoral-fin-posterior_L,1,4,3,3,2,2,1,1,1,2
Pelvic-fin-anterior_R,1,5,4,3,2,2,1,1,2,2
Pelvic-fin-anterior_L,1,5,4,3,2,2,1,1,2,2
Pelvic-fin-posterior_R,1,5,4,3,2,2,1,1,2,2
Pelvic-fin-posterior_L,1,5,4,3,2,2,1,1,2,2
Tip-of-snout,1,1,1,1,1,1,1,1,1,1